laboratorio_id,piso_id,codigo,nombre,capacidad,descripcion,estado,activo,creado_en,actualizado_en
7d424b25-0f98-5f10-b2a8-ed9ddcd33e7a,8b3c4e10-c93e-57d7-8b94-85ac5c6d2970,LAB-001,Laboratorio Informático 01,40,Programación y desarrollo de software,DISPONIBLE,true,2021-01-04T08:00:00+00:00,2022-12-11T08:00:00+00:00
2f4e9d31-6689-5b51-b0d8-2c5cf569fa9e,8b3c4e10-c93e-57d7-8b94-85ac5c6d2970,LAB-002,Laboratorio Informático 02,20,Redes y telecomunicaciones,DISPONIBLE,true,2021-01-07T08:00:00+00:00,2021-02-27T08:00:00+00:00
1d025f29-c642-5117-addd-2d5acf5ceb88,8b3c4e10-c93e-57d7-8b94-85ac5c6d2970,LAB-003,Laboratorio Informático 03,24,Bases de datos y analítica,DISPONIBLE,true,2021-01-10T08:00:00+00:00,2022-01-17T08:00:00+00:00
2574a671-d58d-5db3-8c9f-2518d8a8d790,8b3c4e10-c93e-57d7-8b94-85ac5c6d2970,LAB-004,Laboratorio Informático 04,40,Sistemas operativos y arquitectura,DISPONIBLE,true,2021-01-13T08:00:00+00:00,2023-01-05T08:00:00+00:00
05a1191e-b84b-597d-b970-b04889cc30ee,8b3c4e10-c93e-57d7-8b94-85ac5c6d2970,LAB-005,Laboratorio Informático 05,36,Docencia informática de propósito general,DISPONIBLE,true,2021-01-16T08:00:00+00:00,2023-02-13T08:00:00+00:00
870e2db8-bc1c-5469-823f-881da86d360d,8b3c4e10-c93e-57d7-8b94-85ac5c6d2970,LAB-006,Laboratorio Informático 06,20,Programación y desarrollo de software,OCUPADO,true,2021-01-19T08:00:00+00:00,2021-10-22T08:00:00+00:00
a40fe9f0-87fa-5853-968f-5cedd5939e8a,8b3c4e10-c93e-57d7-8b94-85ac5c6d2970,LAB-007,Laboratorio Informático 07,32,Redes y telecomunicaciones,DISPONIBLE,true,2021-01-22T08:00:00+00:00,2022-04-03T08:00:00+00:00
6d481120-dab0-50c8-8f1b-33cf911e9573,8b3c4e10-c93e-57d7-8b94-85ac5c6d2970,LAB-008,Laboratorio Informático 08,45,Bases de datos y analítica,DISPONIBLE,true,2021-01-25T08:00:00+00:00,2022-04-09T08:00:00+00:00
eb4139b4-3715-5623-a990-d045271440a9,8b3c4e10-c93e-57d7-8b94-85ac5c6d2970,LAB-009,Laboratorio Informático 09,32,Sistemas operativos y arquitectura,DISPONIBLE,true,2021-01-28T08:00:00+00:00,2022-07-01T08:00:00+00:00
d7ce39c6-be5b-537a-ae81-d449a1710ff2,8b3c4e10-c93e-57d7-8b94-85ac5c6d2970,LAB-010,Laboratorio Informático 10,45,Docencia informática de propósito general,DISPONIBLE,true,2021-01-31T08:00:00+00:00,2022-11-05T08:00:00+00:00
